Test Name,Expected Status,Status,Error Message
library/browsercontext-basic.spec.ts › should disable javascript,passed,unexpected,TypeError: Cannot read properties of null (reading 'message')
library/browsercontext-basic.spec.ts › should emulate media in popup,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: false Received: true
library/browsercontext-basic.spec.ts › should emulate media in cross-process iframe,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/browsercontext-cookies-third-party.spec.ts › save/load third party non-partitioned cookies,passed,unexpected,"Error: expect(received).toBe(expected) // Object.is equality Expected: ""Received cookie: top-level=value"" Received: ""Received cookie: frame=value; top-level=value"""
library/browsercontext-cookies-third-party.spec.ts › save/load third party 'Partitioned;' cookies,passed,unexpected,"Error: expect(received).toBe(expected) // Object.is equality Expected: ""Received cookie: frame-non-partitioned=value; top-level-non-partitioned=value; top-level-partitioned=value"" Received: ""Received cookie: top-level-non-partitioned=value; top-level-partitioned=value"""
library/browsercontext-cookies-third-party.spec.ts › same origin third party 'Partitioned;' cookie with different origin intermediate iframe,passed,unexpected,"Error: expect(locator).toHaveText(expected) failed Locator: locator('iframe').contentFrame().locator('iframe').contentFrame().locator('body') Expected: ""Received cookie: frame-non-partitioned=value; frame-partitioned=value"" Received: ""Received cookie: undefined"" Timeout: 10000ms Call log:  - Expect ""soft toHaveText"" locator('iframe').contentFrame().locator('iframe').contentFrame().locator('body') with timeout 10000ms  - waiting for locator('iframe').contentFrame().locator('iframe').contentFrame().locator('body')  17 × locator resolved to <body>Received cookie: undefined</body>  - unexpected value ""Received cookie: undefined"""
library/browsercontext-cookies.spec.ts › should support requestStorageAccess,passed,unexpected,Error: expect(received).toBeTruthy() Received: false
library/browsercontext-csp.spec.ts › should bypass CSP meta tag @smoke,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 42 Received: undefined
library/browsercontext-csp.spec.ts › should bypass CSP header,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 42 Received: undefined
library/browsercontext-csp.spec.ts › should bypass after cross-process navigation,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 42 Received: undefined
library/browsercontext-csp.spec.ts › should bypass CSP in iframes as well,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 42 Received: undefined
library/browsercontext-events.spec.ts › console event should work with element handles,passed,unexpected,"Error: elementHandle.evaluate: TypeError: can't access property ""nodeName"", x is undefined"
library/browsercontext-events.spec.ts › dialog event should work in popup 2,skipped,skipped,fixme: dialog from javascript: url is not reported at all
library/browsercontext-har.spec.ts › should goBack to redirected navigation,passed,unexpected,Test timeout of 15000ms exceeded.
library/browsercontext-har.spec.ts › should goForward to redirected navigation,passed,unexpected,Test timeout of 15000ms exceeded.
library/browsercontext-har.spec.ts › should round-trip har with postData,passed,unexpected,"Error: expect(received).toBe(expected) // Object.is equality Expected: ""2"" Received: ""1"""
library/browsercontext-har.spec.ts › should record overridden requests to har,passed,unexpected,Error: page.evaluate: AbortError: The operation was aborted.
library/browsercontext-page-event.spec.ts › should have url,passed,unexpected,"Error: expect(received).toBe(expected) // Object.is equality Expected: ""http://localhost:8951/empty.html"" Received: ""about:blank"""
library/browsercontext-page-event.spec.ts › should have about:blank url with domcontentloaded,passed,unexpected,Test timeout of 15000ms exceeded.
library/browsercontext-page-event.spec.ts › should have about:blank for empty url with domcontentloaded,passed,unexpected,Test timeout of 15000ms exceeded.
library/browsercontext-page-event.spec.ts › should report when a new page is created and closed,passed,unexpected,"Error: expect(received).toContain(expected) // indexOf Expected substring: ""http://127.0.0.1:8987"" Received string: ""about:blank"""
library/browsercontext-page-event.spec.ts › should have an opener,passed,unexpected,"Error: expect(received).toBe(expected) // Object.is equality Expected: ""http://localhost:8991/popup/popup.html"" Received: ""about:blank"""
library/browsercontext-pages.spec.ts › frame.focus should work multiple times,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/browsercontext-pages.spec.ts › should click the button with deviceScaleFactor set,passed,unexpected,"Error: expect(received).toBe(expected) // Object.is equality Expected: ""Clicked"" Received: ""Was not clicked"""
library/browsercontext-reuse.spec.ts › reuse launch › should not cache resources,passed,unexpected,"Error: expect(page).toHaveTitle(expected) failed Expected: ""Count: 1"" Received: ""Count: 0"" Timeout: 10000ms Call log:  - Expect ""toHaveTitle"" with timeout 10000ms  23 × locator resolved to <html>…</html>  - unexpected value ""Count: 0"""
library/browsercontext-reuse.spec.ts › reuse launch › should update viewport and media,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/browsercontext-reuse.spec.ts › reuse connect › should not cache resources,passed,unexpected,"Error: expect(page).toHaveTitle(expected) failed Expected: ""Count: 1"" Received: ""Count: 0"" Timeout: 10000ms Call log:  - Expect ""toHaveTitle"" with timeout 10000ms  23 × locator resolved to <html>…</html>  - unexpected value ""Count: 0"""
library/browsercontext-reuse.spec.ts › reuse connect › should update viewport and media,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/browsercontext-storage-state.spec.ts › should work when service worker is intefering and the origin is not open,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality - Expected - 0 + Received + 4  Array [  Object {  ""name"": ""foo"",  ""value"": ""bar"",  }, + Object { + ""name"": ""fromServiceWorker"", + ""value"": ""yes"", + },  ]"
library/browsercontext-storage-state.spec.ts › should set local storage in third-party context,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality - Expected - 3 + Received + 1 - Object { - ""name1"": ""value1"", - } + Object {}"
library/browsercontext-storage-state.spec.ts › should roundtrip local storage in third-party context,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality - Expected - 3 + Received + 1 - Object { - ""name1"": ""value1"", - } + Object {}"
library/browsercontext-viewport-mobile.spec.ts › mobile viewport › should support touch emulation,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/browsercontext-viewport-mobile.spec.ts › mobile viewport › should be detectable,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/browsercontext-viewport-mobile.spec.ts › mobile viewport › should detect touch when applying viewport with touches,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/browsercontext-viewport-mobile.spec.ts › mobile viewport › should support window.orientation emulation,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 0 Received: undefined
library/browsercontext-viewport-mobile.spec.ts › mobile viewport › should preserve window.orientation override after navigation,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 90 Received: undefined
library/browsercontext-viewport-mobile.spec.ts › mobile viewport › default mobile viewports to 980 width,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 980 Received: 320
library/browsercontext-viewport-mobile.spec.ts › mobile viewport › should emulate the hover media feature,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/browsercontext-viewport.spec.ts › should support touch with null viewport,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/browsercontext-viewport.spec.ts › should keep touch emulation after screenshot beyond viewport,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/browsercontext-viewport.spec.ts › should drag with high dpi,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/browsertype-connect.spec.ts › launchServer › should upload a folder,passed,unexpected,"Error: elementHandle.setInputFiles: Protocol error (input.setFiles): unsupported operation Message: Failed to add file /tmp/playwright-artifacts-pkbXbl/upload-349f9d19ea8f3b60d630358d799fbc77/folder-upload-test ([Exception... ""File error: Is directory"" nsresult: ""0x8052000d (NS_ERROR_FILE_IS_DIRECTORY)"" location: ""<unknown>"" data: no])"
library/browsertype-connect.spec.ts › run-server › should upload a folder,passed,unexpected,"Error: elementHandle.setInputFiles: Protocol error (input.setFiles): unsupported operation Message: Failed to add file /home/runner/work/playwright/playwright/test-results/.playwright-artifacts-53/upload-6d90441764f5c59d7e44d7dd7b3376fc/folder-upload-test ([Exception... ""File error: Is directory"" nsresult: ""0x8052000d (NS_ERROR_FILE_IS_DIRECTORY)"" location: ""<unknown>"" data: no])"
library/channels.spec.ts › should work with the domain module,passed,unexpected,Test timeout of 15000ms exceeded.
library/client-certificates.spec.ts › browser › should not intercept TLS for origins without a client certificate,passed,unexpected,TypeError: Cannot read properties of null (reading 'subjectName')
library/client-certificates.spec.ts › browser › should intercept TLS and send no client certificate when noCertificate is set for the visited origin,passed,unexpected,TypeError: Cannot read properties of null (reading 'subjectName')
library/client-certificates.spec.ts › browser › persistentContext › should intercept TLS and send no client certificate when noCertificate is set for the visited origin,passed,unexpected,TypeError: Cannot read properties of null (reading 'subjectName')
library/defaultbrowsercontext-1.spec.ts › should support bypassCSP option,passed,unexpected,Error: page.evaluate: ReferenceError: __injected is not defined
library/defaultbrowsercontext-1.spec.ts › should support javascriptEnabled option,passed,unexpected,TypeError: Cannot read properties of null (reading 'message')
library/defaultbrowsercontext-2.spec.ts › should support hasTouch option,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/defaultbrowsercontext-2.spec.ts › should work in persistent context,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 980 Received: 320
library/defaultbrowsercontext-2.spec.ts › should support colorScheme option,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: false Received: true
library/defaultbrowsercontext-2.spec.ts › should support reducedMotion option,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/defaultbrowsercontext-2.spec.ts › should support forcedColors option,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/defaultbrowsercontext-2.spec.ts › should support contrast option,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/defaultbrowsercontext-2.spec.ts › should have passed URL when launching with ignoreDefaultArgs: true,passed,unexpected,Test timeout of 15000ms exceeded.
library/download.spec.ts › download event › should be able to cancel pending downloads,passed,unexpected,Test timeout of 15000ms exceeded.
library/emulation-focus.spec.ts › should think that all pages are focused @smoke,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/emulation-focus.spec.ts › should focus popups by default,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/emulation-focus.spec.ts › should focus with more than one page/context,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/firefox/launcher.spec.ts › should support custom firefox policies,passed,unexpected,"Error: page.goto: Protocol error (browsingContext.navigate): unknown error Message: Error: NS_ERROR_GENERATE_FAILURE(NS_ERROR_MODULE_SECURITY, SEC_ERROR_UNKNOWN_ISSUER) at https://localhost:13122/frames/frame.html Call log:  - navigating to ""https://localhost:13122/frames/frame.html"", waiting until ""load"""
library/geolocation.spec.ts › should use context options for popup,passed,unexpected,Test timeout of 15000ms exceeded.
library/har-websocket.spec.ts › should only have one websocket entry,passed,unexpected,"Error: expect(received).toBe(expected) // Object.is equality Expected: ""websocket"" Received: ""document"""
library/har-websocket.spec.ts › should include websocket handshake headers and status,passed,unexpected,TypeError: Cannot read properties of undefined (reading '_resourceType')
library/har-websocket.spec.ts › should embed websocket messages,passed,unexpected,TypeError: Cannot read properties of undefined (reading 'response')
library/har-websocket.spec.ts › should attach websocket messages,passed,unexpected,TypeError: Cannot read properties of undefined (reading 'response')
library/har-websocket.spec.ts › should attach websocket messages for a still open websocket after stopping,passed,unexpected,Test timeout of 15000ms exceeded.
library/har-websocket.spec.ts › should omit websocket messages,passed,unexpected,TypeError: Cannot read properties of undefined (reading 'response')
library/har-websocket.spec.ts › should record websocket connection failure,passed,unexpected,Test timeout of 15000ms exceeded.
library/har-websocket.spec.ts › should record websocket handshake failure,passed,unexpected,TypeError: Cannot read properties of undefined (reading '_resourceType')
library/har-websocket.spec.ts › should still capture websocket when route passes messages through,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 1 Received: 0
library/har-websocket.spec.ts › should still allow routeWebSocket to modify messages when capturing HAR,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 1 Received: 0
library/har-websocket.spec.ts › should respect PLAYWRIGHT_HAR_NO_WEBSOCKET_FRAMES,passed,unexpected,"Error: expect(received).toBe(expected) // Object.is equality Expected: ""websocket"" Received: ""document"""
library/har.spec.ts › should include postData,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality Expected: {""mimeType"": ""text/plain;charset=UTF-8"", ""params"": [], ""text"": ""Hello""} Received: undefined"
library/har.spec.ts › should include binary postData,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality Expected: {""mimeType"": ""application/octet-stream"", ""params"": [], ""text"": """"} Received: undefined"
library/har.spec.ts › should include form params,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality Expected: {""mimeType"": ""application/x-www-form-urlencoded"", ""params"": [{""name"": ""foo"", ""value"": ""bar""}, {""name"": ""baz"", ""value"": ""123""}], ""text"": ""foo=bar&baz=123""} Received: undefined"
